%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8,dt,ux,uz,sx,sz
3130482500,770681,1.64454093955409E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402072638273,-9.62032318115,0.686465501785,0,0,0,0,0,0,0,0,0,0.002016,0.000810578438758,0.001383914451599,2.4511891988053E-06,4.18495730163405E-06
3132612900,770682,1.64454093955611E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402072638273,-9.64974308014,0.686465501785,0,0,0,0,0,0,0,0,0,0.002014208,0.000809857924591,0.001382684305419,2.44683346586062E-06,4.17752068417518E-06
3134440100,770683,1.64454093955812E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38245934248,-9.62032318115,0.725692093372,0,0,0,0,0,0,0,0,0,0.002013696,0.000770156848115,0.001461323265655,2.32629264663149E-06,4.41399122213408E-06
3136607300,770684,1.64454093956014E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402072638273,-9.62032318115,0.666852176189,0,0,0,0,0,0,0,0,0,0.002015744,0.000810475508163,0.00134420327304,2.45056671408969E-06,4.06435452361587E-06
3138754300,770685,1.64454093956215E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38245934248,-9.61051654816,0.598205626011,0,0,0,0,0,0,0,0,0,0.002013696,0.000770156848115,0.001204604276276,2.32629264663149E-06,3.63856021907935E-06
3140653600,770686,1.64454093956417E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38245934248,-9.62032318115,0.666852176189,0,0,0,0,0,0,0,0,0,0.002013696,0.000770156848115,0.001342837559783,2.32629264663149E-06,4.05609993417744E-06
3142423300,770687,1.64454093956618E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38245934248,-9.64974308014,0.666852176189,0,0,0,0,0,0,0,0,0,0.002016,0.00077103803444,0.001344373987197,2.33161901614559E-06,4.0653869372838E-06
3144438500,770688,1.6445409395682E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362846046686,-9.62032318115,0.686465501785,0,0,0,0,0,0,0,0,0,0.002013952,0.000730754521415,0.001382508570251,2.20755679487027E-06,4.17645885011092E-06
3146558900,770689,1.64454093957021E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38245934248,-9.62032318115,0.725692093372,0,0,0,0,0,0,0,0,0,0.002013696,0.000770156848115,0.001461323265655,2.32629264663149E-06,4.41399122213408E-06
3148664600,770690,1.64454093957222E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402072638273,-9.64974308014,0.696272134781,0,0,0,0,0,0,0,0,0,0.002013952,0.000809754993995,0.001402258658386,2.44621153449989E-06,4.23612244436211E-06
3150555700,770691,1.64454093957424E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402072638273,-9.61051654816,0.764918684959,0,0,0,0,0,0,0,0,0,0.002015744,0.000810475508163,0.001541880249694,2.45056671408969E-06,4.66205379305876E-06
3152624500,770692,1.64454093957625E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343232750893,-9.66935634613,0.696272134781,0,0,0,0,0,0,0,0,0,0.002013952,0.000691254285126,0.001402258658386,2.0882294250585E-06,4.23612244436211E-06
3154449100,770693,1.64454093957827E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402072638273,-9.62032318115,0.686465501785,0,0,0,0,0,0,0,0,0,0.00201344,0.000809549132804,0.001382157099914,2.4449679089305E-06,4.17433558687624E-06
3156495900,770694,1.64454093958028E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402072638273,-9.64974308014,0.696272134781,0,0,0,0,0,0,0,0,0,0.002014208,0.000809857924591,0.001402436904053,2.44683346586062E-06,4.23719944745808E-06
3158701800,770695,1.6445409395823E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38245934248,-9.62032318115,0.696272134781,0,0,0,0,0,0,0,0,0,0.002015488,0.000770842215256,0.001403328132385,2.33043485211383E-06,4.24258651632805E-06
3160416200,770696,1.64454093958431E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402072638273,-9.64974308014,0.725692093372,0,0,0,0,0,0,0,0,0,0.002014208,0.000809857924591,0.001461694820007,2.44683346586062E-06,4.41623610002387E-06
3162849700,770697,1.64454093958632E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38245934248,-9.61051654816,0.666852176189,0,0,0,0,0,0,0,0,0,0.002013696,0.000770156848115,0.001342837559783,2.32629264663149E-06,4.05609993417744E-06
3164616200,770698,1.64454093958834E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402072638273,-9.64974308014,0.696272134781,0,0,0,0,0,0,0,0,0,0.002015744,0.000810475508163,0.001403506378052,2.45056671408969E-06,4.24366434078005E-06
3166787800,770699,1.64454093959035E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402072638273,-9.62032318115,0.725692093372,0,0,0,0,0,0,0,0,0,0.002014208,0.000809857924591,0.001461694820007,2.44683346586062E-06,4.41623610002387E-06
3168748000,770700,1.64454093959237E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402072638273,-9.58109664917,0.725692093372,0,0,0,0,0,0,0,0,0,0.002013952,0.000809754993995,0.001461509042831,2.44621153449989E-06,4.41511358974054E-06
3170753000,770701,1.64454093959438E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38245934248,-9.62032318115,0.666852176189,0,0,0,0,0,0,0,0,0,0.002015488,0.000770842215256,0.001344032558883,2.33043485211383E-06,4.06332224105641E-06
3172773300,770702,1.6445409395964E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402072638273,-9.62032318115,0.725692093372,0,0,0,0,0,0,0,0,0,0.002013696,0.0008096520634,0.001461323265655,2.44558968218985E-06,4.41399122213408E-06
3174657800,770703,1.64454093959841E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38245934248,-9.62032318115,0.725692093372,0,0,0,0,0,0,0,0,0,0.002013952,0.000770254757706,0.001461509042831,2.32688416468812E-06,4.41511358974054E-06
3176840700,770704,1.64454093960042E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362846046686,-9.61051654816,0.666852176189,0,0,0,0,0,0,0,0,0,0.002013952,0.000730754521415,0.00134300827394,2.20755679487027E-06,4.05713129897759E-06
3178768800,770705,1.64454093960244E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362846046686,-9.62032318115,0.686465501785,0,0,0,0,0,0,0,0,0,0.002015488,0.000731311852943,0.001383562981262,2.21092539579679E-06,4.18283187896561E-06
3180782500,770706,1.64454093960445E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38245934248,-9.61051654816,0.735498726368,0,0,0,0,0,0,0,0,0,0.002014208,0.000770352667298,0.00148144741864,2.32747575793932E-06,4.47591486330677E-06
3183300300,770707,1.64454093960647E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362846046686,-9.64974308014,0.696272134781,0,0,0,0,0,0,0,0,0,0.002015488,0.000731311852943,0.001403328132385,2.21092539579679E-06,4.24258651632805E-06
