,field.header.stamp,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,type,delta_x,delta_z,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,delta_angle,x,z
93,1644542238653531551,-3.24600100517,-9.98316955566,0.470719188452,acc,-1.3165383396952971e-05,-1.9091795037656116e-06,,,,,-0.01980279356879256,-0.06439702034452184
94,1644542238653791428,,,,gyr,-1.316285020704402e-05,-1.926567100644268e-06,-2.62322974205,0.26354470849,-0.0314159244299,-0.0013208325793760565,-0.01980279356879256,-0.06439702034452184
95,1644542238655545712,-3.19696784019,-9.39477062225,-0.196132987738,acc,-1.2969601507596028e-05,7.956810392264999e-07,,,,,-0.019815956418999605,-0.06439894691162248
96,1644542238657559633,-2.8831551075,-9.99297618866,-7.04117441177,acc,-1.1693724777861774e-05,2.855814294207588e-05,,,,,-0.0198289260205072,-0.06439815123058326
97,1644542238658803463,,,,gyr,-1.1749910845140303e-05,2.8535071799658592e-05,-2.56214332581,0.392699092627,0.0,-0.0019682215967147657,-0.0198289260205072,-0.06439815123058326
98,1644542238659573555,-6.76658821106,-7.39421415329,-5.30539751053,acc,-2.744448212276615e-05,2.1518065321888333e-05,,,,,-0.01984067593135234,-0.0643696161587836
99,1644542238661587715,-3.37348747253,-4.53067207336,-3.09890127182,acc,-1.3685700623693871e-05,1.2571748202374733e-05,,,,,-0.019868120413475108,-0.06434809809346172
100,1644542238663603544,-2.34378933907,-9.7478094101,2.04958987236,acc,-9.524143975462839e-06,-8.328644861381943e-06,,,,,-0.0198818061140988,-0.06433552634525934
101,1644542238663815737,,,,gyr,-9.516781443995045e-06,-8.33705671322923e-06,-0.92502450943,0.176278248429,0.153588980436,-0.0008835548813662175,-0.0198818061140988,-0.06433552634525934
102,1644542238665617704,-0.362846046686,-13.6214361191,8.08067893982,acc,-1.4720085394925937e-06,-3.2782025635810646e-05,,,,,-0.019891322895542796,-0.06434386340197257
103,1644542238667631626,-0.598205626011,-8.35526561737,1.05911815166,acc,-2.426251324406395e-06,-4.295658058756999e-06,,,,,-0.019892794904082287,-0.06437664542760838
104,1644542238668827534,,,,gyr,-2.42993279560512e-06,-4.293576627450641e-06,0.692895710468,-0.171042263508,-0.130899697542,0.0008572291031226039,-0.019892794904082287,-0.06437664542760838
105,1644542238669647694,-1.75539028645,-8.30623245239,1.45138418674,acc,-7.134836798050235e-06,-5.89919483068515e-06,,,,,-0.019895224836877893,-0.06438093900423583
106,1644542238671661615,-2.57914876938,-11.7385597229,1.48080408573,acc,-1.0460712221772346e-05,-6.005960408933653e-06,,,,,-0.019902359673675943,-0.06438683819906652
107,1644542238673673630,-1.01008486748,-13.2880105972,-7.9826130867,acc,-4.0890299647298265e-06,3.231524910356808e-05,,,,,-0.019912820385897714,-0.06439284415947545
108,1644542238673837662,,,,gyr,-4.072357498369059e-06,3.231735439486954e-05,-0.0261799395084,-0.102974422276,0.148352980614,0.0005159150363288113,-0.019912820385897714,-0.06439284415947545
109,1644542238675687790,-4.17763280869,-4.78564500809,-10.6107950211,acc,-1.694798999581709e-05,4.304630303821728e-05,,,,,-0.019916892743396083,-0.06436052680508059
110,1644542238677701712,-3.99130654335,-7.83551311493,-3.81478667259,acc,-1.618826765553819e-05,1.547232392048609e-05,,,,,-0.0199338407333919,-0.06431748050204238
