,field.header.stamp,time,file_name,North,West,North_dd,West_dd,lat,lon,lat_utm,lon_utm,North_deg,West_deg,North_minute_decimal,West_minute_decimal
668,1627577955675066948,2021-07-29 16:59:15.675066948,ply,4616.7309438249995,11940.8868241,46.278849063749995,-119.68144706833333,,,5128525.156468268,293418.11224032997,46,119,16.730943824999486,40.88682410000001
669,1627577956120328903,2021-07-29 16:59:16.120328903,ply,4616.730210615,11940.886901419999,46.278836843583335,-119.68144835699998,,,5128523.802082647,293417.96700633806,46,119,16.730210615000033,40.88690141999905
670,1627577956606891394,2021-07-29 16:59:16.606891632,ply,4616.72954705,11940.88698886,46.27882578416667,-119.68144981433333,,,5128522.577104284,293417.8131437032,46,119,16.729547050000292,40.8869888600002
671,1627577957068200588,2021-07-29 16:59:17.068200588,ply,4616.728843049999,11940.886974055,46.278814050833326,-119.68144956758333,,,5128521.272805508,293417.7880271186,46,119,16.72884304999934,40.88697405499988
672,1627577957542629242,2021-07-29 16:59:17.542629004,ply,4616.728137705,11940.887071365,46.27880229508334,-119.68145118941666,,,5128519.9708886,293417.618872832,46,119,16.728137705000336,40.88707136499943
673,1627577958050733089,2021-07-29 16:59:18.050733089,ply,4616.727409215,11940.887142895,46.27879015358334,-119.68145238158334,,,5128518.6249917755,293417.4813688081,46,119,16.72740921500008,40.88714289500058
674,1627577958536573648,2021-07-29 16:59:18.536573647,ply,4616.72668099,11940.887171695,46.278778016500006,-119.68145286158332,,,5128517.277728633,293417.3987458525,46,119,16.726680990000204,40.88717169499978
675,1627577959012417793,2021-07-29 16:59:19.012417793,ply,4616.726009829999,11940.88714232,46.27876683049999,-119.681452372,,,5128516.033609214,293417.3943952442,46,119,16.726009829999384,40.88714231999984
676,1627577959446488380,2021-07-29 16:59:19.446488380,ply,4616.72535754,11940.887224884998,46.278755959,-119.68145374808331,,,5128514.829297857,293417.2474985679,46,119,16.725357540000005,40.88722488499843
677,1627577959867261648,2021-07-29 16:59:19.867261648,ply,4616.72478359,11940.887303995,46.278746393166664,-119.68145506658333,,,5128513.769905038,293417.1099482745,46,119,16.724783589999788,40.887303994999456
678,1627577960343795300,2021-07-29 16:59:20.343795300,ply,4616.724030134999,11940.887426590001,46.278733835583324,-119.68145710983336,,,5128512.379997749,293416.9053128336,46,119,16.72403013499934,40.88742659000127
