,North,North_dd,West,West_dd,field.header.stamp,file_name,lat,lat_utm,lon,lon_utm,time,North_deg,West_deg,North_minute_decimal,West_minute_decimal
1185,4616.7358543850005,46.278930906416676,11940.85642959,-119.68094049316666,1627578194608022213,ply,0.8077197186199347,185641.69200108777,-2.0888264634891645,9125169.392050926,2021-07-29 17:03:14.608022213,46,119,16.735854385000493,40.85642958999961
1186,4616.73634816,46.27893913599999,11940.85602168,-119.68093369466666,1627578195096429825,ply,0.8077198622532596,185641.7257090163,-2.088826344832955,9125169.41863569,2021-07-29 17:03:15.096429825,46,119,16.73634815999958,40.856021679999685
1187,4616.736819375,46.27894698958333,11940.855589585,-119.68092649308333,1627578195600116253,ply,0.8077199993241471,185641.75795151573,-2.0888262191416147,9125169.44688643,2021-07-29 17:03:15.600116253,46,119,16.736819374999868,40.855589585000416
1188,4616.73732571,46.2789554285,11940.855174195,-119.68091956991665,1627578196119070292,ply,0.8077201466110282,185641.7925118148,-2.0888260983095615,9125169.473952617,2021-07-29 17:03:16.119070292,46,119,16.737325709999823,40.85517419499956
1189,4616.73779599,46.27896326650001,11940.854809125,-119.68091348541665,1627578196556198835,ply,0.8077202834099351,185641.82457499596,-2.088825992115003,9125169.497696249,2021-07-29 17:03:16.556198835,46,119,16.73779599000045,40.85480912499952
1190,4616.73825123,46.278970853833336,11940.854455685,-119.68090759474998,1627578197006145000,ply,0.8077204158338831,185641.8556128455,-2.088825889303475,9125169.520683585,2021-07-29 17:03:17.006145000,46,119,16.73825123000006,40.854455684999266
1191,4616.738719285,46.27897865475,11940.85405623,-119.68090093716667,1627578197437514067,ply,0.8077205519855636,185641.88758727923,-2.0888257731067257,9125169.546744129,2021-07-29 17:03:17.437514067,46,119,16.738719285000116,40.854056230000424
1192,4616.739190645,46.27898651075,11940.85367594,-119.68089459899998,1627578197886291981,ply,0.8077206890986297,185641.91974916405,-2.0888256624848482,9125169.571509724,2021-07-29 17:03:17.886291981,46,119,16.739190645000235,40.85367593999945
1193,4616.739709685,46.27899516141667,11940.85323608,-119.680887268,1627578198336614609,ply,0.8077208400812455,185641.95520114072,-2.0888255345347613,9125169.600199994,2021-07-29 17:03:18.336614609,46,119,16.73970968499998,40.85323607999999
1194,4616.74013464,46.279002244000004,11940.85297229,-119.6808828715,1627578198750894547,ply,0.8077209636956443,185641.98405889797,-2.0888254578013608,9125169.61720908,2021-07-29 17:03:18.750894547,46,119,16.74013464000018,40.85297229000025
1195,4616.74062011,46.27901033516667,11940.852554125,-119.68087590208333,1627578199251655340,ply,0.8077211049131429,185642.0172297174,-2.0888253361620928,9125169.644498073,2021-07-29 17:03:19.251655340,46,119,16.740620110000236,40.8525541250001
